District,Year,HMIS_SAM_cases,fiscal_year
Sitamarhi,2017,0.0,2017-18
Siwan,2017,0.0,2017-18
Supaul,2017,0.0,2017-18
Vaishali,2017,180.0,2017-18
Pashchim Champaran,2017,0.0,2017-18
Araria,2017,0.0,2017-18
Arwal,2017,0.0,2017-18
Aurangabad,2017,0.0,2017-18
Banka,2017,202.0,2017-18
Begusarai,2017,0.0,2017-18
Bhagalpur,2017,132.0,2017-18
Bhojpur,2017,15.0,2017-18
Buxar,2017,2.0,2017-18
Darbhanga,2017,1.0,2017-18
Purbi Champaran,2017,24.0,2017-18
Gaya,2017,32.0,2017-18
Gopalganj,2017,7.0,2017-18
