column,missing_n,missing_pct
GW_TDS_median,16,25.396825396825395
GW_pH_median,0,0.0
GW_EC_uScm_median,0,0.0
GW_HCO3_median,0,0.0
GW_SO4_median,0,0.0
GW_Cl_median,0,0.0
GW_NO3_median,0,0.0
GW_F_mgL_median,0,0.0
n_wells,0,0.0
Target_log_burden_per100k,0,0.0
