District,oof_pred_rf
Madhepura,4.873698436637587
Begusarai,4.603310394995538
Saharsa,4.4469156368586535
Arwal,4.383954453908026
Gopalganj,4.200763828660904
Muzaffarpur,4.160002488512158
Saran,3.9890573040861175
Nawada,3.9635516153078125
Saran,3.8812629303577553
Jamui,3.8694072216438826
Buxar,3.8433549264773665
Katihar,3.833121738063134
Samastipur,3.803267675252728
Munger,3.792319801962738
Rohtas,3.7757778176439163
