Well_ID,Serial,State,District,Block,Village,Latitude,Longitude,Year,pH,EC_uScm,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,TDS,SiO2
W263821085590502,7339,Bihar,Madhubani,Harlakhi,Baurahar Chowk,26.6392,85.9847,2019,7.9,705.0,0.0,295.2,64.07,47.092,8.17,,208.0,59.11,14.68,66.696,11.57,0.894,458.25,
W262730085581501,7340,Bihar,Madhubani,Benipatti,Benipatti,26.4583,85.9708,2019,8.14,334.0,0.0,166.05,29.08,1.053,0.0,,90.0,20.0,9.72,34.58,1.208,0.285,217.1,
W262708086080501,7341,Bihar,Madhubani,Khajauli,Bentadih,26.4522,86.1347,2019,7.92,528.0,0.0,295.2,45.268,7.62,1.21,,172.0,26.97,25.434,49.408,5.809,0.556,343.2,
W261500086080001,7342,Bihar,Madhubani,Pandaul,Bhawanipur,26.25,86.1333,2019,7.97,450.0,0.0,270.6,12.755,1.754,0.321,,107.0,18.9,14.53,54.4,4.758,0.729,292.5,
W261419086132001,7343,Bihar,Madhubani,Jhanjharpur,Bideshwar Asthan,26.2386,86.2222,2019,7.8,689.0,0.0,295.2,75.254,29.606,1.271,,179.0,29.89,25.404,70.17,11.48,0.269,447.85,
W262633085565701,7344,Bihar,Madhubani,Benipatti,Dhakjari,26.4425,85.9492,2019,7.96,1463.0,0.0,202.95,304.0,76.0,62.0,,200.0,34.0,27.945,190.41,41.36,0.14,950.95,
W263821085590501,7345,Bihar,Madhubani,Harlakhi,Harlakhi,26.6392,85.9847,2019,8.19,334.0,0.0,202.95,0.265,14.77,0.171,,122.0,33.02,9.624,23.33,2.005,0.179,217.1,
W261938086181901,7346,Bihar,Madhubani,Andhrathari,Harri,26.3272,86.3053,2019,8.07,450.0,0.0,276.75,10.473,2.7,0.64,,103.0,17.08,14.651,56.82,1.987,1.02,292.5,
W220926088253801,7347,Bihar,Madhubani,Jainagar,Jaynagar,26.575,86.1625,2019,8.02,397.0,0.0,215.25,27.724,1.878,1.014,,125.0,30.23,12.085,36.404,1.775,0.403,258.05,
W261601086164701,7348,Bihar,Madhubani,Jhanjharpur,Jhanjharpur,26.2669,86.2797,2019,8.11,480.0,0.0,264.45,19.92,11.585,0.15,,88.0,12.58,13.784,69.356,2.124,0.751,312.0,
W263451086122401,7349,Bihar,Madhubani,Ladhania,Jogiya,26.5808,86.2067,2019,8.14,463.0,0.0,282.9,4.263,1.175,0.11,0.02,84.0,10.63,13.889,61.816,1.255,0.932,300.95,
W214950078245501,7350,Bihar,Madhubani,Rajnagar,Kapasia,26.4211,86.0367,2019,8.1,389.0,0.0,246.0,1.721,0.987,0.0,,94.0,28.0,5.907,42.192,0.991,0.839,252.85,
W262200086300001,7351,Bihar,Madhubani,Phulparas,Kapileshwar,26.3667,86.5,2019,7.85,1059.0,0.0,498.15,93.4,47.634,2.007,,263.0,28.0,46.904,102.55,48.354,0.97,688.35,
