Well_ID,Serial,State,District,Block,Village,Latitude,Longitude,Year,pH,EC_uScm,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,TDS,SiO2
W244503085400701,240,Bihar,Saran,Ekma,Bishunpur,25.97,84.6,2021,8.2,650.0,0.0,171.0,53.0,53.0,65.0,0.0,170.0,50.0,11.0,65.0,13.0,0.38,423.0,
W254818084431201,241,Bihar,Saran,Chapra,Chirand,25.81,84.72,2021,8.18,642.0,0.0,195.0,82.0,23.0,30.0,0.0,190.0,66.0,6.0,52.0,15.0,0.71,417.0,
W221719084182901,242,Bihar,Saran,Ekma,Ekma,25.97,84.55,2021,8.2,461.0,0.0,128.0,67.0,14.0,12.0,0.0,120.0,28.0,12.0,46.0,6.95,0.53,300.0,
W254930084533001,243,Bihar,Saran,Garkha,Garkha,25.83,84.89,2021,8.19,398.0,0.0,116.0,43.0,11.0,33.0,0.0,110.0,30.0,9.0,35.0,7.25,0.34,259.0,
W260340084413001,244,Bihar,Saran,Baniapur,Manopali,26.06,84.69,2021,8.12,929.0,0.0,262.0,107.0,37.0,71.0,0.0,285.0,106.0,23.0,76.0,12.0,0.68,604.0,
W255845084521501,245,Bihar,Saran,Marhaura,Marhaura,25.98,84.87,2021,8.14,617.0,0.0,189.0,36.0,94.0,10.0,0.32,200.0,60.0,12.0,45.0,11.0,0.41,401.0,
W254800084511901,246,Bihar,Saran,Garkha,Minapur,25.8,84.86,2021,7.97,1470.0,0.0,329.0,192.0,95.0,75.0,0.0,415.0,136.0,18.0,122.0,18.0,0.38,956.0,
W254933084434001,247,Bihar,Saran,Jalalpur,Nagra,25.83,84.73,2021,8.13,511.0,0.0,244.0,11.0,11.0,31.0,0.0,170.0,50.0,11.0,32.0,12.0,0.47,332.0,
W260944084405101,248,Bihar,Siwan,Bhagwanpur,Malmalia Chowk,26.16,84.68,2021,8.14,320.0,0.0,92.0,25.0,23.0,31.0,0.0,130.0,40.0,7.0,5.0,14.0,0.63,208.0,
W260613084403301,249,Bihar,Siwan,Bhagwanpurhat,Sarripatti,26.1,84.68,2021,7.87,1805.0,0.0,384.0,231.0,168.0,105.0,0.0,435.0,150.0,15.0,183.0,54.0,0.21,1173.0,
W261145084291501,250,Bihar,Siwan,Barharia,Tarwara,26.2,84.49,2021,8.13,678.0,0.0,232.0,75.0,24.0,21.0,0.0,215.0,72.0,9.0,52.0,6.5,0.75,441.0,
W255237085223701,251,Bihar,Vaishali,Goraul,Baksama,25.88,85.38,2021,8.14,404.0,0.0,201.0,14.0,4.23,11.0,0.0,145.0,54.0,2.0,25.0,2.1,0.39,263.0,
W255530085202801,252,Bihar,Vaishali,Goraul,Chandpur Kala,25.93,85.34,2021,8.17,607.0,0.0,244.0,53.0,17.0,12.0,0.0,205.0,70.0,7.0,42.0,6.3,0.21,395.0,
W255615085204501,253,Bihar,Vaishali,Garaul,Garaul,25.94,85.35,2021,8.2,693.0,0.0,159.0,124.0,17.0,26.0,0.0,220.0,66.0,11.0,51.0,12.0,0.87,450.0,
W185230079173001,254,Bihar,Vaishali,Vaishali,Hajipur,25.7,85.23,2021,8.16,556.0,0.0,189.0,28.0,35.0,51.0,0.0,205.0,70.0,7.0,30.0,5.5,0.61,361.0,
W252620086043701,255,Bihar,Vaishali,Goraul,Harpur,25.92,85.38,2021,8.13,560.0,0.0,207.0,21.0,47.0,42.0,0.0,215.0,64.0,13.0,29.0,4.62,0.72,364.0,
W254100085120002,256,Bihar,Vaishali,Bidupur,Kachanpur,25.68,85.2,2021,8.16,426.0,0.0,226.0,14.0,4.81,9.54,0.09,140.0,44.0,7.0,31.0,6.25,0.0,277.0,
W253857085281701,257,Bihar,Vaishali,Mahnar,Kumharkal,25.65,85.47,2021,8.07,1089.0,0.0,378.0,46.0,132.0,14.0,0.0,360.0,132.0,7.0,71.0,9.27,0.0,708.0,
W253615085310001,258,Bihar,Vaishali,Mahnar,Mahnar,25.6,85.52,2021,8.15,438.0,0.0,116.0,25.0,35.0,65.0,0.0,105.0,32.0,6.0,46.0,10.0,0.0,285.0,
W253749085214301,259,Bihar,Vaishali,Bidupur,Mathura,25.63,85.36,2021,8.12,517.0,0.0,177.0,11.0,31.0,82.0,0.0,155.0,38.0,15.0,44.0,6.25,0.0,336.0,
W254814085355201,260,Bihar,Vaishali,Patepur,Mushari Tola,25.8,85.6,2021,8.13,834.0,0.0,250.0,50.0,58.0,97.0,0.0,285.0,108.0,4.0,58.0,3.1,0.0,542.0,
W254954085105101,261,Bihar,Vaishali,Lalganj,Namidh,25.83,85.18,2021,8.15,850.0,0.0,311.0,71.0,34.0,44.0,0.0,300.0,110.0,6.0,53.0,9.78,0.0,553.0,
W254629085142001,262,Bihar,Vaishali,Bhagwanpur (Sarai),Nonepur,25.78,85.24,2021,8.14,769.0,0.0,275.0,28.0,58.0,75.0,0.0,275.0,96.0,9.0,47.0,5.4,0.0,500.0,
W253942085273901,263,Bihar,Vaishali,Sahdei Bujurg,Sahdei Bujurg,25.66,85.46,2021,8.02,1245.0,0.0,329.0,75.0,180.0,75.0,0.0,395.0,134.0,15.0,98.0,8.2,0.0,809.0,
W254100085120001,264,Bihar,Vaishali,Hajipur,Sahjadpur,25.68,85.2,2021,8.16,565.0,0.0,268.0,18.0,5.49,43.0,0.0,200.0,54.0,16.0,34.0,7.52,0.0,367.0,
W255059085263101,265,Bihar,Vaishali,Mahua,Tariya Supaul,25.85,85.44,2021,8.19,508.0,0.0,140.0,43.0,21.0,67.0,0.0,210.0,70.0,9.0,12.0,11.0,0.0,330.0,
W255755085080301,266,Bihar,Vaishali,Vaishali,Thukaiya,25.97,85.13,2021,8.12,452.0,0.0,159.0,11.0,40.0,50.0,0.0,150.0,46.0,9.0,28.0,11.0,0.0,294.0,
W260949084594701,267,Bihar,Muzaffarpur,Paroo,Dewaria,26.16,85.0,2021,8.19,798.0,0.0,189.0,153.0,17.0,10.0,0.0,340.0,102.0,21.0,23.0,5.7,0.0,519.0,
W261743084571301,268,Bihar,Muzaffarpur,Sahebganj,Rajwara,26.3,84.95,2021,8.14,630.0,0.0,293.0,11.0,46.0,9.48,0.12,220.0,68.0,12.0,39.0,6.65,0.0,410.0,
W262005084511901,269,Bihar,E. Champaran,Kesaria,Lala Chapra,26.33,84.86,2021,8.13,535.0,0.0,140.0,39.0,36.0,75.0,0.0,135.0,42.0,7.0,50.0,18.0,0.63,348.0,
W215611075081001,270,Bihar,E. Champaran,Kalyanpur,Rajpur,26.51,84.84,2021,8.16,558.0,0.0,128.0,110.0,27.0,10.0,0.0,150.0,32.0,17.0,59.0,17.0,0.42,363.0,
W253814085002601,271,Bihar,Patna,Danapur,Khaspur,25.64,85.01,2021,8.19,356.0,0.0,177.0,14.0,6.66,2.82,0.0,125.0,40.0,6.0,20.0,1.95,0.19,231.0,
W253441084532402,272,Bihar,Patna,Bhita,Bishambharpur,25.58,84.89,2021,8.14,310.0,0.0,134.0,18.0,8.19,0.94,0.0,135.0,32.0,13.0,6.0,1.94,0.36,202.0,
W253109084511501,273,Bihar,Patna,Bihta,Amhara,25.52,84.85,2021,8.14,349.0,0.0,159.0,18.0,8.54,1.04,0.0,140.0,48.0,5.0,12.0,1.76,0.0,227.0,
W252930084515201,274,Bihar,Patna,Bikram,Mariyawa,25.49,84.86,2021,8.16,256.0,0.0,104.0,14.0,5.19,20.0,0.0,95.0,32.0,4.0,12.0,1.46,0.0,166.0,
