Well_ID,Serial,State,District,Block,Village,Latitude,Longitude,Year,pH,EC_uScm,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,TDS,SiO2
CGWB_2023_281_Araria,281,Bihar,Araria,,Araria,26.1432,87.4609,2023,7.91,522.0,0.0,195.0,46.0,13.0,29.0,0.0,200.0,36.0,27.0,24.0,6.0,0.09,,
CGWB_2023_282_Araria,282,Bihar,Araria,,Paikapar,26.0653,87.1504,2023,7.63,596.0,0.0,201.0,71.0,17.0,18.0,0.11,260.0,60.0,27.0,16.0,1.0,0.7,,
CGWB_2023_283_Araria,283,Bihar,Araria,,Bathnaha 1,26.0693,87.1497,2023,7.84,199.0,0.0,85.0,11.0,9.0,6.0,0.0,80.0,14.0,11.0,5.0,5.0,0.13,,
CGWB_2023_284_Araria,284,Bihar,Araria,,Haripur,26.2315,87.2315,2023,7.54,350.0,0.0,159.0,18.0,9.0,9.0,0.0,155.0,36.0,16.0,9.0,1.0,0.13,,
CGWB_2023_285_Araria,285,Bihar,Araria,,Matiyari,26.3206,87.251,2023,7.89,826.0,0.0,262.0,96.0,38.0,27.0,0.19,270.0,58.0,30.0,53.0,19.0,0.85,,
CGWB_2023_286_Araria,286,Bihar,Araria,,Jokihat,26.1612,87.6559,2023,7.91,1004.0,0.0,403.0,89.0,39.0,5.0,0.0,320.0,64.0,39.0,71.0,24.0,0.29,,
CGWB_2023_287_Araria,287,Bihar,Araria,,Palasi,26.3228,87.224,2023,7.92,259.0,0.0,92.0,28.0,11.0,1.0,0.0,125.0,40.0,6.0,1.0,2.0,0.34,,
CGWB_2023_288_Araria,288,Bihar,Araria,,Raniganj,26.0949,87.2321,2023,7.72,559.0,0.0,214.0,46.0,17.0,28.0,0.15,240.0,62.0,21.0,15.0,5.0,0.12,,
CGWB_2023_289_Araria,289,Bihar,Araria,,Sikti,26.4064,87.5479,2023,7.81,389.0,0.0,140.0,46.0,13.0,1.0,0.0,135.0,36.0,11.0,25.0,2.0,0.32,,
CGWB_2023_290_Arwal,290,Bihar,Arwal,,Arwal,25.2495,84.6668,2023,7.65,1031.0,0.0,329.0,121.0,43.0,32.0,0.19,370.0,90.0,35.0,55.0,22.0,0.65,,
CGWB_2023_291_Arwal,291,Bihar,Arwal,,Dirpal Bigha,25.2943,84.7032,2023,7.81,488.0,0.0,183.0,28.0,12.0,50.0,0.13,200.0,50.0,18.0,19.0,1.0,0.69,,
CGWB_2023_292_Arwal,292,Bihar,Arwal,,Imamganj,25.2152,84.7489,2023,7.93,678.0,0.0,287.0,43.0,30.0,11.0,0.21,280.0,64.0,29.0,22.0,10.0,0.61,,
CGWB_2023_293_Arwal,293,Bihar,Arwal,,Madhubani,25.1904,84.6045,2023,7.97,266.0,0.0,104.0,21.0,15.0,0.0,0.0,125.0,30.0,12.0,4.0,1.0,0.43,,
CGWB_2023_294_Arwal,294,Bihar,Arwal,,Kaler,25.1172,84.5002,2023,7.78,603.0,0.0,232.0,53.0,33.0,4.0,0.15,260.0,88.0,10.0,13.0,9.0,0.5,,
CGWB_2023_295_Arwal,295,Bihar,Arwal,,Bairbigha,25.1535,84.7151,2023,7.82,657.0,0.0,262.0,53.0,28.0,13.0,0.0,220.0,50.0,23.0,47.0,3.0,0.36,,
CGWB_2023_296_Arwal,296,Bihar,Arwal,,Kinjer,25.2168,84.8291,2023,7.89,405.0,0.0,183.0,28.0,10.0,5.0,0.0,175.0,60.0,6.0,11.0,1.0,0.39,,
CGWB_2023_297_Arwal,297,Bihar,Arwal,,Kurtha,25.1247,84.8089,2023,7.96,739.0,0.0,348.0,43.0,18.0,3.0,0.23,265.0,68.0,23.0,47.0,4.0,0.54,,
CGWB_2023_298_Arwal,298,Bihar,Arwal,,Jhunathi,25.2114,84.8853,2023,8.11,648.0,0.0,281.0,43.0,29.0,0.0,0.14,250.0,58.0,26.0,34.0,1.0,0.6,,
CGWB_2023_299_Arwal,299,Bihar,Arwal,,Bansi Surajpur,25.1146,84.7324,2023,8.03,1616.0,0.0,549.0,206.0,64.0,3.0,0.0,560.0,40.0,112.0,109.0,8.0,0.74,,
CGWB_2023_300_Aurangab,300,Bihar,Aurangabad,,Aurangabad,24.7462,84.3845,2023,7.85,2614.0,0.0,848.0,366.0,67.0,30.0,0.0,880.0,138.0,130.0,175.0,40.0,0.75,,
CGWB_2023_301_Aurangab,301,Bihar,Aurangabad,,Parnawa,24.8407,84.3445,2023,7.84,586.0,0.0,220.0,50.0,24.0,20.0,0.11,245.0,72.0,16.0,21.0,1.0,0.72,,
CGWB_2023_302_Aurangab,302,Bihar,Aurangabad,,Barun,24.8685,84.2128,2023,8.05,485.0,0.0,195.0,39.0,22.0,6.0,0.0,205.0,18.0,39.0,16.0,1.0,0.68,,
CGWB_2023_303_Aurangab,303,Bihar,Aurangabad,,Narari Kala,24.7877,84.1491,2023,7.88,683.0,0.0,256.0,64.0,29.0,9.0,0.0,240.0,88.0,5.0,47.0,2.0,0.66,,
CGWB_2023_304_Aurangab,304,Bihar,Aurangabad,,Daudnagar,25.0346,84.4049,2023,8.01,1635.0,0.0,458.0,263.0,59.0,15.0,0.17,515.0,80.0,77.0,120.0,31.0,0.63,,
CGWB_2023_305_Aurangab,305,Bihar,Aurangabad,,Deo1,24.6687,84.4401,2023,7.78,1185.0,0.0,512.0,82.0,44.0,14.0,0.11,325.0,32.0,60.0,122.0,1.0,0.82,,
CGWB_2023_306_Aurangab,306,Bihar,Aurangabad,,Deohara Goh,25.0045,84.5793,2023,7.98,805.0,0.0,305.0,67.0,44.0,16.0,0.0,250.0,62.0,23.0,68.0,3.0,0.38,,
CGWB_2023_307_Aurangab,307,Bihar,Aurangabad,,Dhobi Tola Goh,24.984,84.6477,2023,7.93,1906.0,0.0,531.0,280.0,91.0,38.0,0.0,510.0,120.0,51.0,181.0,36.0,0.29,,
CGWB_2023_308_Aurangab,308,Bihar,Aurangabad,,Etwan,25.044,84.5447,2023,8.1,553.0,0.0,232.0,43.0,20.0,7.0,0.25,190.0,50.0,16.0,35.0,7.0,0.46,,
CGWB_2023_309_Aurangab,309,Bihar,Aurangabad,,Kutumba,24.6128,84.2209,2023,7.81,1395.0,0.0,488.0,153.0,56.0,31.0,0.0,360.0,48.0,58.0,139.0,28.0,0.74,,
CGWB_2023_310_Aurangab,310,Bihar,Aurangabad,,Mahauli,24.6146,84.1626,2023,7.95,1509.0,0.0,506.0,185.0,69.0,9.0,0.0,435.0,98.0,46.0,131.0,26.0,0.8,,
CGWB_2023_311_Aurangab,311,Bihar,Aurangabad,,Nabinagar,24.6399,84.1139,2023,8.03,659.0,0.0,311.0,28.0,25.0,10.0,0.15,185.0,34.0,24.0,64.0,2.0,0.8,,
CGWB_2023_312_Aurangab,312,Bihar,Aurangabad,,Obra,24.8894,84.3724,2023,7.92,821.0,0.0,336.0,64.0,26.0,22.0,0.24,290.0,86.0,18.0,52.0,4.0,0.77,,
CGWB_2023_313_Aurangab,313,Bihar,Aurangabad,,Rafiganj,24.8151,84.6318,2023,7.76,1133.0,0.0,470.0,103.0,15.0,20.0,0.0,315.0,48.0,47.0,109.0,13.0,0.55,,
CGWB_2023_314_Aurangab,314,Bihar,Aurangabad,,Tineri Morh,24.871,84.6429,2023,7.68,607.0,0.0,287.0,32.0,21.0,1.0,0.19,205.0,48.0,21.0,45.0,0.0,0.57,,
CGWB_2023_315_Banka,315,Bihar,Banka,,Amarpur,25.0387,86.903,2023,7.98,825.0,0.0,275.0,107.0,22.0,14.0,0.05,225.0,46.0,27.0,78.0,15.0,0.18,,
CGWB_2023_316_Banka,316,Bihar,Banka,,English Morh,24.9959,86.9057,2023,7.83,705.0,0.0,244.0,71.0,28.0,30.0,0.0,210.0,50.0,21.0,57.0,12.0,0.14,,
CGWB_2023_317_Banka,317,Bihar,Banka,,Rampur,25.0055,86.8448,2023,7.99,1312.0,0.0,378.0,170.0,86.0,18.0,0.08,470.0,100.0,53.0,76.0,18.0,0.13,,
CGWB_2023_318_Banka,318,Bihar,Banka,,Banka,24.8823,86.9234,2023,7.69,662.0,0.0,183.0,114.0,12.0,12.0,0.05,190.0,36.0,24.0,55.0,15.0,0.25,,
CGWB_2023_319_Banka,319,Bihar,Banka,,Chandan,24.6171,86.665,2023,7.91,438.0,0.0,153.0,53.0,12.0,4.0,0.0,170.0,42.0,16.0,23.0,1.0,0.73,,
CGWB_2023_320_Banka,320,Bihar,Banka,,Baunsi,24.8013,87.0239,2023,7.78,2042.0,0.0,641.0,231.0,136.0,34.0,0.22,500.0,128.0,44.0,236.0,4.0,1.18,,
CGWB_2023_321_Banka,321,Bihar,Banka,,Panjwara,24.853,87.0972,2023,8.03,576.0,0.0,153.0,71.0,38.0,30.0,0.0,175.0,40.0,18.0,46.0,9.0,0.4,,
CGWB_2023_322_Banka,322,Bihar,Banka,,Tinmurty,24.9179,86.6018,2023,8.03,718.0,0.0,244.0,99.0,13.0,8.0,0.0,190.0,40.0,22.0,73.0,7.0,0.12,,
CGWB_2023_323_Banka,323,Bihar,Banka,,Katuria,24.7457,86.7223,2023,7.96,1133.0,0.0,305.0,160.0,60.0,36.0,0.09,355.0,90.0,32.0,83.0,23.0,0.39,,
CGWB_2023_324_Banka,324,Bihar,Banka,,Kharharia,25.1324,86.9327,2023,7.85,530.0,0.0,183.0,64.0,19.0,0.0,0.0,190.0,28.0,29.0,33.0,1.0,1.08,,
CGWB_2023_325_Banka,325,Bihar,Banka,,Sambhuganj,25.0806,86.7333,2023,7.94,904.0,0.0,305.0,124.0,16.0,9.0,0.0,230.0,64.0,17.0,55.0,81.0,0.61,,
CGWB_2023_326_Banka,326,Bihar,Banka,,Mirzapur,25.0806,86.7606,2023,7.92,832.0,0.0,214.0,142.0,29.0,5.0,0.0,155.0,30.0,19.0,119.0,4.0,1.63,,
CGWB_2023_327_Begusara,327,Bihar,Begusarai,,Bagrash,25.559,86.2611,2023,7.83,828.0,0.0,336.0,53.0,53.0,11.0,0.15,350.0,80.0,36.0,22.0,10.0,0.47,,
CGWB_2023_328_Begusara,328,Bihar,Begusarai,,Bakhri Salauna,25.6001,86.261,2023,7.61,1192.0,0.0,458.0,85.0,75.0,25.0,0.0,475.0,106.0,51.0,41.0,26.0,0.71,,
