Well_ID,Serial,State,District,Block,Village,Latitude,Longitude,Year,pH,EC_uScm,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,TDS,SiO2
W254005084413401,4104,Bihar,Bhojpur,Barahara,Bakhorapur,25.66,84.69,2020,6.2,1158.0,0.0,281.0,25.0,275.0,31.0,0.0,230.0,76.0,10.0,158.0,1.3,0.03,,
W253004084173401,4105,Bihar,Buxar,Brahampur,Bagen Bazar,25.5,84.29,2020,6.2,414.0,0.0,67.0,14.0,127.0,67.0,0.0,135.0,42.0,7.0,33.0,40.0,0.05,,
W252925084332301,4106,Bihar,Bhojpur,Barahara,Balua,25.66,84.56,2020,6.2,404.0,0.0,92.0,11.0,68.0,43.0,0.0,180.0,64.0,5.0,7.0,1.28,0.03,,
W253544084182101,4107,Bihar,Buxar,Brahampur,Barhampur,25.59,84.3,2020,6.1,406.0,0.0,61.0,43.0,85.0,24.0,0.0,150.0,50.0,6.0,32.0,1.34,0.02,,
W254058084434301,4108,Bihar,Bhojpur,Barahara,Barahara,25.63,84.72,2020,6.1,617.0,0.0,134.0,25.0,92.0,78.0,0.0,230.0,70.0,13.0,35.0,1.37,0.02,,
W251908084361501,4109,Bihar,Bhojpur,Agion,Baruna,25.31,84.6,2020,5.9,583.0,0.0,128.0,32.0,89.0,51.0,0.02,245.0,76.0,13.0,19.0,1.43,0.04,,
W253300084273001,4110,Bihar,Bhojpur,Bihiyan,Bihiya,25.55,84.45,2020,6.1,671.0,0.0,165.0,14.0,93.0,72.0,0.0,155.0,42.0,12.0,72.0,1.4,0.05,,
W253612084432901,4111,Bihar,Bhojpur,Koilwar,Birampur,25.6,84.72,2020,5.7,381.0,0.0,110.0,43.0,36.0,11.0,0.0,140.0,42.0,9.0,23.0,1.33,0.07,,
W253345084361501,4112,Bihar,Bhojpur,Udwantnagar,Chandawa,25.56,84.6,2020,5.9,1873.0,0.0,763.0,60.0,110.0,136.0,0.0,520.0,136.0,44.0,190.0,1.4,0.02,,
W254017084462501,4113,Bihar,Bhojpur,Barahara,Dhusaria,25.67,84.77,2020,5.9,570.0,0.0,171.0,14.0,77.0,53.0,0.0,235.0,62.0,19.0,23.0,1.33,0.01,,
W254111084442001,4114,Bihar,Bhojpur,Barahara,Ekauna,25.68,84.73,2020,5.8,410.0,0.0,146.0,21.0,31.0,29.0,0.0,175.0,56.0,9.0,15.0,1.3,0.01,,
W252515084333001,4115,Bihar,Bhojpur,Garhani,Garhani,25.42,84.55,2020,6.1,730.0,0.0,287.0,11.0,72.0,55.0,0.08,260.0,76.0,17.0,49.0,1.44,0.1,,
W253513084444901,4116,Bihar,Bhojpur,Koilwar,Giddha,25.58,84.74,2020,5.9,488.0,0.0,177.0,25.0,18.0,23.0,0.0,180.0,50.0,13.0,19.0,1.0,0.03,,
W251536084355001,4117,Bihar,Bhojpur,Sahar,Guljarpur,25.26,84.59,2020,5.9,795.0,0.0,323.0,7.0,55.0,69.0,0.0,270.0,64.0,27.0,53.0,1.33,0.05,,
W253535084151901,4118,Bihar,Buxar,Brahampur,Jugia Dera,25.59,84.25,2020,5.9,549.0,0.0,214.0,36.0,17.0,34.0,0.0,210.0,82.0,1.0,27.0,1.13,0.05,,
W253421084342101,4119,Bihar,Bhojpur,Udwantnagar,Harnath Kundi,25.57,84.57,2020,6.0,1068.0,0.0,372.0,60.0,59.0,76.0,0.0,300.0,92.0,17.0,95.0,3.65,0.02,,
W253844084470101,4120,Bihar,Bhojpur,Koilwar,Inglishpur,25.64,84.78,2020,6.2,894.0,0.0,342.0,11.0,85.0,43.0,0.0,280.0,70.0,26.0,63.0,1.63,0.01,,
W252900084244501,4121,Bihar,Bhojpur,Jagdishpur,Jagadishpur1,25.48,84.41,2020,6.0,701.0,0.0,281.0,50.0,29.0,25.0,0.05,320.0,76.0,32.0,15.0,0.34,0.04,,
W252841084363101,4122,Bihar,Bhojpur,Udwantnagar,Kasap,25.47,84.6,2020,5.9,1232.0,0.0,506.0,75.0,28.0,76.0,0.03,560.0,170.0,33.0,23.0,0.47,0.1,,
W252336084413601,4123,Bihar,Bhojpur,Sandesh,Kori,25.39,84.69,2020,6.0,504.0,0.0,55.0,21.0,86.0,115.0,0.0,225.0,64.0,16.0,13.0,0.08,0.07,,
W202035085471001,4124,Bihar,Buxar,Brahampur,Raghunathpur,25.56,84.3,2020,5.8,650.0,0.0,183.0,92.0,18.0,32.0,0.0,175.0,42.0,17.0,59.0,17.0,0.05,,
W253445084450001,4125,Bihar,Bhojpur,Koilwar,Kulharia,25.57,84.75,2020,6.0,409.0,0.0,214.0,7.0,13.0,10.0,0.0,160.0,46.0,11.0,20.0,0.05,0.06,,
W253038084440601,4126,Bihar,Bhojpur,Koilwar,Lodhipur,25.51,84.73,2020,5.8,944.0,0.0,311.0,89.0,35.0,89.0,0.0,270.0,42.0,40.0,87.0,19.0,0.03,,
W253613084450001,4127,Bihar,Bhojpur,Koilwar,Mokhlisa,25.6,84.75,2020,5.9,594.0,0.0,256.0,14.0,31.0,21.0,0.0,220.0,62.0,16.0,26.0,1.6,0.03,,
W253653084471601,4128,Bihar,Bhojpur,Koilwar,Muhammadpur,25.61,84.78,2020,5.8,584.0,0.0,244.0,21.0,23.0,39.0,0.0,195.0,58.0,12.0,42.0,2.6,0.02,,
W252706084450101,4129,Bihar,Bhojpur,Koilwar,Nasratpur,25.45,84.75,2020,5.7,894.0,0.0,268.0,43.0,58.0,125.0,0.0,280.0,78.0,21.0,68.0,7.9,0.03,,
W253832084471501,4130,Bihar,Bhojpur,Koilwar,Pachrukhiya,25.64,84.78,2020,5.7,778.0,0.0,232.0,28.0,82.0,88.0,0.07,255.0,76.0,16.0,57.0,5.3,0.02,,
W252421084441701,4131,Bihar,Bhojpur,Sandesh,Sandesh,25.4,84.73,2020,5.7,1627.0,0.0,573.0,114.0,86.0,115.0,0.12,590.0,168.0,41.0,89.0,24.0,0.03,,
W253411084313101,4132,Bihar,Bhojpur,Udwantnagar,Sasaram Chota,25.57,84.52,2020,5.7,1054.0,0.0,299.0,50.0,94.0,114.0,0.1,365.0,84.0,38.0,64.0,2.9,0.02,,
W232822080212701,4133,Bihar,Bhojpur,Barahara,Simariya,25.67,84.72,2020,5.6,552.0,0.0,165.0,60.0,21.0,37.0,0.0,240.0,70.0,16.0,14.0,0.03,0.01,,
W253636084452401,4134,Bihar,Bhojpur,Koilwar,Songhata,25.61,84.75,2020,5.8,583.0,0.0,183.0,53.0,6.3,33.0,0.0,240.0,64.0,19.0,10.0,0.06,0.05,,
W253030084373001,4135,Bihar,Bhojpur,Udwantnagar,Udwantnagar,25.5,84.62,2020,5.9,610.0,0.0,171.0,64.0,26.0,45.0,0.03,245.0,70.0,17.0,15.0,12.0,0.05,,
